"Loyalty Program","Loyalty Program"
"You are with us for <b>%1</b> days","You are with us for <b>%1</b> days"
"You are with us for <b>%1</b> day","You are with us for <b>%1</b> day"
Total:,Total:
"Number of completed orders is <b>%1</b>","Number of completed orders is <b>%1</b>"
"Average order value is <b>%1</b>","Average order value is <b>%1</b>"
"Order amount is <b>%1</b>","Order amount is <b>%1</b>"
"This Month:","This Month:"
"Last Month:","Last Month:"
"Number of completed orders was <b>%1</b>","Number of completed orders was <b>%1</b>"
"Average order value was <b>%1</b>","Average order value was <b>%1</b>"
"Order amount was <b>%1</b>","Order amount was <b>%1</b>"
General,General
"Description Header","Description Header"
Description,Description
"Stats Header","Stats Header"
