"Tracking","Tracking",module,Chottvn_Frontend
"Order","Order",module,Chottvn_Frontend
"Sign in","Sign in",module,Chottvn_Frontend
"Sign in with Facebook","Sign in with Facebook",module,Chottvn_Frontend
"Sign in with Google","Sign in with Google",module,Chottvn_Frontend
"Sign up","Sign up",module,Chottvn_Frontend
"Sign out","Sign out",module,Chottvn_Frontend
"Hello %1","Hello %1",module,Chottvn_Frontend
"Account","Account",module,Chottvn_Frontend
"My Account","My Account",module,Chottvn_Frontend
"My Orders","My Orders",module,Chottvn_Frontend
"My Wishlists","My Wishlists",module,Chottvn_Frontend
"My Product Reviews","My Product Reviews",module,Chottvn_Frontend
