"We can't find category matching the selection.","We can't find category matching the selection."
"More Categories","More Categories"
"Close Menu","Close Menu"
"Sm Categories Menu","Sm Categories Menu"
Magentech.com,Magentech.com
"SM Categories Menu","SM Categories Menu"
"General Settings","General Settings"
"Enabled Extensions","Enabled Extensions"
Title,Title
"Source Options","Source Options"
"Select Category","Select Category"
"Category Depth","Category Depth"
"Number Category Visible First","Number Category Visible First"
"Product Information","Product Information"
"<p>Author: <a target=""_blank"" title=""Magentech"" href=""http://www.magentech.com"">Magentech</a></p>
											<p>Vesion: 1.0.0</p>
											<p>Userguide: <a target=""_blank"" title=""Usergide"" href=""http://www.magentech.com/documentation/sm-categories-menu/"">Userguide</a></p>
											<p>Support: <a target=""_blank"" href=""http://www.magentech.com/forum"">http://www.magentech.com/forum</a></p>","<p>Author: <a target=""_blank"" title=""Magentech"" href=""http://www.magentech.com"">Magentech</a></p>
											<p>Vesion: 1.0.0</p>
											<p>Userguide: <a target=""_blank"" title=""Usergide"" href=""http://www.magentech.com/documentation/sm-categories-menu/"">Userguide</a></p>
											<p>Support: <a target=""_blank"" href=""http://www.magentech.com/forum"">http://www.magentech.com/forum</a></p>"
