"Sm Filter Products","Sm Filter Products"
1,1
2,2
3,3
4,4
5,5
Name,Name
Id,Id
"Date Created","Date Created"
Price,Price
Random,Random
Asc,Asc
Desc,Desc
"Featured Products","Featured Products"
"Best Sellers","Best Sellers"
"New Products","New Products"
"Special Products","Special Products"
"Most Viewed","Most Viewed"
"Products in Category","Products in Category"
"Countdown Products ","Countdown Products "
Simple,Simple
Slide,Slide
Magentech.com,Magentech.com
"SM Filter Products","SM Filter Products"
"General Settings","General Settings"
Enable,Enable
"Title Module","Title Module"
"Source Options","Source Options"
"Show Countdown Timer","Show Countdown Timer"
"Select Source","Select Source"
"Date To","Date To"
"Select Category","Select Category"
"Product Field to Order By","Product Field to Order By"
"Ordering Direction","Ordering Direction"
"Product Limitation","Product Limitation"
